ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
1827714,올래국수,63119,올래국수,064-742-7355,제주특별자치도 제주시 귀아랑길 24 ,33.4914891794,126.4972061735,"올래국수는 제주시 연동에 있는 제주 대표 고기국수 음식점이다. 올래국수 단일메뉴만 취급하며 두툼한 고기와 중면이 구수한 사골국물과 어우러져 깊은 맛을 자랑한다. tvN 수요미식회를 포함에 다수의 방송에 소개된 맛집으로 한국의 설렁탕보다 진한 국물로 손님의 입맛을 사로잡았다.
가게는 오전 8시 30분 오픈과 동시에 북적이기 시작하며 자리에 앉으면 국수가 바로 나온다. 돼지 뼈와 고기를 넣고 푹 끓인 육수에 중간 크기 면을 맛 정통 제주 고기국수의 맛을 느낄 수 있다. 큼직한 돼지고기를 듬뿍 넣은 덕분에 한 그릇 먹고 나면 마음까지 든든해진다.",064-742-7355,,,,0,,08:20 ~ 15:00 (라스트오더 14:50),"매주 일요일 / 설,추석 연휴",고기국수,고기국수,,모두 금연석,가능,,,"화장실:있음(남/녀 구분)

",20060628172.0
1882353,둠비정원,63565,둠비정원,064-739-7787,제주특별자치도 서귀포시 신중로13번길 20 (강정동),33.2571735807,126.5078799725,"둠비란 두부의 제주 방언이다. 제주 서귀포시 강정동에 있는 둠비정원은 100% 국내산 콩으로 직접 만든 두부 요리 전문점이다.
국산 콩을 9시간 이상 불려 두부를 제조한다. 또  콩을 갈아서 비지와 함께 끓인 다음 비지를 분리하는 전통 방식의 온비지 여과로 두부를 만들어 맛 좋은 두부를 선보인다. 비지를 짤 때 세기를 조절해 콩의 식감이 살아있게 만들었다. 당일 생산 및 당일 판매 원칙으로 물량 소진 시 영업이 종료된다.
주변 관광지로는 천지연  정방폭포  외돌개가 있다.",064-739-7787,,,,0,,11:00 ~ 21:00 (브레이크타임 15:00 ~ 17:00),매주 일요일,비지찌개,비지찌개/해물순두부/두부두루치기/두부김치 등,,모두 금연석,가능,,전화 예약 문의 (064-739-7787),"화장실:있음
",19950631120.0
2363045,와랑와랑,63610,와랑와랑,070-4656-1761,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28 ,33.2722634836,126.6765427957,"와랑와랑은 제주 올레 5코스가 지나는 서귀포 위미리 마을 안에 자리한 카페이다. 카페 앞 돌담 너머에 풍성한 감귤밭이 펼쳐져 있고  근처에는 동백나무 군락지가 있다.
유기농 감귤로 만든 영귤차  영귤에이드  감귤 스무디 등의 음료를 판매하며 친환경 국산 콩가루로 만든 겨울 별미 찰떡구이도 인기가 많다. 나무와 돌로 카페 내부를 장식해 따뜻한 분위기에서 디저트 메뉴를 즐길 수 있다.
올레시장  이중섭거리  서귀포성당과 가까이에 있다.",070-4656-1761,,,주차 가능,0,,11:00 ~ 18:00,연중무휴,핸드드립커피,핸드드립커피/ 영귤차/ 제주레몬차/찰떡구이/구좌당근주스,,모두 금연석,가능,가능(일부 메뉴),,"화장실:있음(남/녀구분)
",20130631003.0
2385005,카페코지,63643,카페코지,064-784-1005,제주특별자치도 서귀포시 성산읍 한도로 200 ,33.4682431337,126.929291427,카페코지는 일출봉  오조리바다  성산항 이 세 가지를 동시에 즐길 수 있는 베이커리 카페이자 북카페이다. 제주도의 성산일출봉을 바라보며 LP를 듣고  책을 보고  커피 한잔을 즐길 수 있다. 매일 아침에 건강한 쌀빵을 만들어 판매하고 있으며  소금빵과 식빵이 인기가 많다.,064-784-1005,,,가능,0,,09:00~22:00<br>라스트오더 21:45,매주 일요일,일출봉 크림라떼,일출봉 크림라떼 / 소금빵 / 샤갈의 눈내리는 생망고빙수 / 말차식빵 / 퀸즈크라운 / 코지시나몬 외,,모두 금연석,가능,가능,가능(전화 문의),"화장실:있음(남/녀 구분)
",20120631270.0
2654186,지미스,63365,지미스,010-9868-8633,제주특별자치도 제주시 우도면 우도해안길 1132 ,33.4977793773,126.9674124414,제주특별자치도 제주시에 있는 카페이다. 대표메뉴는 아이스크림이다. 땅콩은 우도의 특산물이다.,010-9868-8633,,,,0,,08:00-17:30,,아이스크림,아이스크림 / 주스,,금연,없음,,,,20180620417.0
2678844,제원삼계탕,63129,제원삼계탕,064-742-7250,제주특별자치도 제주시 제원길 16 ,33.4885227142,126.489229156,싱싱한 전복을 넣은 삼계탕을 만날 수 있다. 대표메뉴는 삼계탕이다. 제주특별자치도 제주시에 있는 한식전문점이다.,064-742-7250,,,,0,,11:00-20:00,,삼계탕,삼계탕 / 전복삼계탕,,금연,없음,,,,19870627133.0
2679127,우진해장국,63168,우진해장국,064-757-3393,제주특별자치도 제주시 서사로 11 ,33.5115900951,126.5200370657,제주식 해장국 요리를 맛볼 수 있는 곳이다. 대표메뉴는 육개장이다. 제주특별자치도 제주시에 있는 한식 전문점이다.,064-757-3393,,,,0,,06:00-22:00,연중무휴,육개장,육개장 / 녹두빈대떡,,금연,없음,,,,20020627011.0
2805240,가파도별미식당,63510,,,제주특별자치도 서귀포시 대정읍 영서중로 59 ,33.2215375052,126.260049487,가파도별미식당은 가파도 보릿가루로 반죽한 보말보리수제비와 보말죽 삼계탕이 대표 메뉴이다. 크림스프처럼 부드럽고 뜨끈한 보말죽 삼계탕은 환절기 몸보신으로 제격이다.,064-794-0320,,,,0,,11:00~20:00<br>※ 재료 소진시 조기마감,연중무휴,보말죽 삼계탕,보말죽 삼계탕 / 전복죽 삼계탕 / 보말보리수제비 외,,,,,,,19990631399.0
2678751,명진전복,63360,명진전복,064-782-9944,제주특별자치도 제주시 구좌읍 해맞이해안로 1282 ,33.5324764068,126.8494496455,"제주도에서 유명한 전복요리를 판매하는 곳이다. 대표메뉴는 전복돌솥밥이다. 가게 앞이 바다라서 창가쪽에 앉으면 바다뷰를 즐길 수 있다 
전복돌솥밥을 시키면 고등어구이와 낙지젓갈이 나오며 돌솥에 만든 누룽지밥이랑 같이 먹으면 끊임없이 들어간다. 여러 명이 가면 전복 버터구이도 같이 시켜먹는 것을 추천한다.",064-782-9944,,,,0,,09:30 ~ 21:30 (라스트 오더 20:30),화요일,전복돌솥밥,전복돌솥밥 / 전복죽 외,,금연,없음,,,,20120627621.0
2767638,소금바치순이네,63364,,,제주특별자치도 제주시 구좌읍 해맞이해안로 2196 ,33.5036972787,126.9126503843,소금바치 순이네는 종달리 해안로에 자리하고 있는 해산물 요리 전문점이다. 예능 프로그램에도 나와 더욱 유명해진 맛집이다. 이 집의 대표 메뉴는 매콤 달콤한 양념에 부드러운 식감의 돌문어를 각종 채소에 무쳐 만든 돌문어 볶음이다. 전복죽  성게국  보말국 등 싱싱한 해산물 메뉴도 다양하다. 바로 앞에는 우도와 일출봉이 보이는 전망대가 있고  근처에는 종달과 우도를 연결하는 항로가 있어 여객선이 자주 왕래한다. 식사 후 전망로를 따라 산책하기에도 좋다.,064-784-1230,,,가능,0,,09:30~19:00 (브레이크타임 15:00~16:30),"매월 첫째 주, 셋째 주 목요일",돌문어볶음,해물탕 / 모둠해산물 / 해물뚝배기 / 갈치조림 등,,,가능,가능,없음,"화장실:있음 (남녀 구분)

",20080627418.0
2767722,해심가든,63545,,,제주특별자치도 서귀포시 천제연로 203-4 (중문동) ,33.2519506497,126.4265343656,서귀포 중문동에 위치한 해심가든은 돼지갈비 맛집으로 이름을 알린 한식당이다. 돼지 양념갈비도 맛있지만  양념 없이 그냥 구워 먹는 돼지 생갈비 맛이 일품이다. 두툼하면서 부드러운 돼지갈비가 인기이며  탄력 있고 쫄깃한 식감에 육즙이 가득해 유명인들도 즐겨 찾는 곳이다. 돼지갈비는 큼지막하고 두껍게 썰어 고기의 맛을 더욱 풍성하게 살려놓았다. 갈비와 함께 나오는 구수한 된장찌개도 별미다.,064-738-2820,,,가능,0,,12:30~21:30<br>라스트오더 20:30,비정기 휴무,돼지생갈비,돼지생갈비 / 양념갈비 / 흑돼지오겹살 / 성게미역국 외,,,가능,가능,가능(전화 문의),"화장실:있음 (남녀 구분)

",19910631040.0
